"Duration (sec)","From Object","To Object"
60.000,"From Sensor Sensor11","To Sensor SensorG1"
60.000,"From Sensor Sensor11","To Sensor SensorG3"
60.000,"From Sensor Sensor11","To Sensor SensorG5"
60.000,"From Sensor Sensor12","To Sensor SensorG1"
60.000,"From Sensor Sensor12","To Sensor SensorG2"
60.000,"From Sensor Sensor12","To Sensor SensorG3"
60.000,"From Sensor Sensor12","To Sensor SensorG6"
60.000,"From Sensor Sensor13","To Sensor SensorG3"
60.000,"From Sensor Sensor13","To Sensor SensorG4"
60.000,"From Sensor Sensor13","To Sensor SensorG6"
60.000,"From Sensor Sensor13","To Sensor SensorG5"
60.000,"From Sensor Sensor14","To Sensor SensorG4"
60.000,"From Sensor Sensor15","To Sensor SensorG4"
60.000,"From Sensor Sensor15","To Sensor SensorG6"
60.000,"From Sensor Sensor17","To Sensor SensorG1"
60.000,"From Sensor Sensor18","To Sensor SensorG1"
60.000,"From Sensor Sensor18","To Sensor SensorG2"
60.000,"From Sensor Sensor18","To Sensor SensorG3"
60.000,"From Sensor Sensor21","To Sensor SensorG6"
60.000,"From Sensor Sensor22","To Sensor SensorG4"
60.000,"From Sensor Sensor23","To Sensor SensorG6"
60.000,"From Sensor Sensor23","To Sensor SensorG5"
60.000,"From Sensor Sensor24","To Sensor SensorG1"
60.000,"From Sensor Sensor24","To Sensor SensorG2"
60.000,"From Sensor Sensor24","To Sensor SensorG4"
60.000,"From Sensor Sensor24","To Sensor SensorG5"
60.000,"From Sensor Sensor25","To Sensor SensorG2"
60.000,"From Sensor Sensor25","To Sensor SensorG3"
60.000,"From Sensor Sensor25","To Sensor SensorG4"
60.000,"From Sensor Sensor25","To Sensor SensorG5"
60.000,"From Sensor Sensor26","To Sensor SensorG1"
60.000,"From Sensor Sensor26","To Sensor SensorG2"
60.000,"From Sensor Sensor26","To Sensor SensorG3"
60.000,"From Sensor Sensor27","To Sensor SensorG2"
60.000,"From Sensor Sensor27","To Sensor SensorG3"
60.000,"From Sensor Sensor28","To Sensor SensorG3"
60.000,"From Sensor Sensor28","To Sensor SensorG6"
60.000,"From Sensor Sensor31","To Sensor SensorG1"
60.000,"From Sensor Sensor32","To Sensor SensorG1"
60.000,"From Sensor Sensor32","To Sensor SensorG2"
11.207,"From Sensor Sensor32","To Sensor SensorG3"
60.000,"From Sensor Sensor32","To Sensor SensorG4"
60.000,"From Sensor Sensor32","To Sensor SensorG6"
60.000,"From Sensor Sensor32","To Sensor SensorG5"
60.000,"From Sensor Sensor33","To Sensor SensorG1"
60.000,"From Sensor Sensor33","To Sensor SensorG2"
60.000,"From Sensor Sensor33","To Sensor SensorG3"
60.000,"From Sensor Sensor33","To Sensor SensorG4"
60.000,"From Sensor Sensor33","To Sensor SensorG6"
60.000,"From Sensor Sensor34","To Sensor SensorG1"
60.000,"From Sensor Sensor34","To Sensor SensorG2"
60.000,"From Sensor Sensor34","To Sensor SensorG6"
60.000,"From Sensor Sensor34","To Sensor SensorG5"
60.000,"From Sensor Sensor35","To Sensor SensorG2"
60.000,"From Sensor Sensor35","To Sensor SensorG3"
60.000,"From Sensor Sensor35","To Sensor SensorG6"
60.000,"From Sensor Sensor38","To Sensor SensorG4"

