"Duration (min)","From Object","To Object"
1.000,"From Sensor Sensor11","To Sensor Sensor13"
1.000,"From Sensor Sensor11","To Sensor Sensor14"
1.000,"From Sensor Sensor11","To Sensor Sensor16"
1.000,"From Sensor Sensor11","To Sensor Sensor17"
1.000,"From Sensor Sensor11","To Sensor Sensor21"
1.000,"From Sensor Sensor11","To Sensor Sensor22"
1.000,"From Sensor Sensor11","To Sensor Sensor23"
1.000,"From Sensor Sensor11","To Sensor Sensor24"
1.000,"From Sensor Sensor11","To Sensor Sensor27"
1.000,"From Sensor Sensor11","To Sensor Sensor28"
1.000,"From Sensor Sensor11","To Sensor Sensor31"
1.000,"From Sensor Sensor11","To Sensor Sensor32"
1.000,"From Sensor Sensor11","To Sensor Sensor35"
1.000,"From Sensor Sensor11","To Sensor Sensor36"
1.000,"From Sensor Sensor11","To Sensor Sensor37"
1.000,"From Sensor Sensor11","To Sensor Sensor38"
1.000,"From Sensor Sensor12","To Sensor Sensor14"
1.000,"From Sensor Sensor12","To Sensor Sensor15"
1.000,"From Sensor Sensor12","To Sensor Sensor17"
1.000,"From Sensor Sensor12","To Sensor Sensor18"
1.000,"From Sensor Sensor12","To Sensor Sensor21"
1.000,"From Sensor Sensor12","To Sensor Sensor22"
1.000,"From Sensor Sensor12","To Sensor Sensor23"
1.000,"From Sensor Sensor12","To Sensor Sensor24"
1.000,"From Sensor Sensor12","To Sensor Sensor25"
1.000,"From Sensor Sensor12","To Sensor Sensor26"
1.000,"From Sensor Sensor12","To Sensor Sensor27"
1.000,"From Sensor Sensor12","To Sensor Sensor28"
1.000,"From Sensor Sensor12","To Sensor Sensor31"
1.000,"From Sensor Sensor12","To Sensor Sensor35"
1.000,"From Sensor Sensor12","To Sensor Sensor36"
1.000,"From Sensor Sensor13","To Sensor Sensor11"
1.000,"From Sensor Sensor13","To Sensor Sensor15"
1.000,"From Sensor Sensor13","To Sensor Sensor16"
1.000,"From Sensor Sensor13","To Sensor Sensor18"
1.000,"From Sensor Sensor13","To Sensor Sensor23"
1.000,"From Sensor Sensor13","To Sensor Sensor24"
1.000,"From Sensor Sensor13","To Sensor Sensor25"
1.000,"From Sensor Sensor13","To Sensor Sensor26"
1.000,"From Sensor Sensor13","To Sensor Sensor27"
1.000,"From Sensor Sensor13","To Sensor Sensor28"
1.000,"From Sensor Sensor13","To Sensor Sensor31"
1.000,"From Sensor Sensor13","To Sensor Sensor32"
1.000,"From Sensor Sensor13","To Sensor Sensor35"
1.000,"From Sensor Sensor13","To Sensor Sensor36"
1.000,"From Sensor Sensor13","To Sensor Sensor37"
1.000,"From Sensor Sensor13","To Sensor Sensor38"
1.000,"From Sensor Sensor14","To Sensor Sensor11"
1.000,"From Sensor Sensor14","To Sensor Sensor12"
1.000,"From Sensor Sensor14","To Sensor Sensor16"
1.000,"From Sensor Sensor14","To Sensor Sensor17"
0.732,"From Sensor Sensor14","To Sensor Sensor23"
1.000,"From Sensor Sensor14","To Sensor Sensor24"
1.000,"From Sensor Sensor14","To Sensor Sensor27"
1.000,"From Sensor Sensor14","To Sensor Sensor28"
1.000,"From Sensor Sensor14","To Sensor Sensor31"
1.000,"From Sensor Sensor14","To Sensor Sensor32"
1.000,"From Sensor Sensor14","To Sensor Sensor33"
1.000,"From Sensor Sensor14","To Sensor Sensor34"
1.000,"From Sensor Sensor14","To Sensor Sensor35"
1.000,"From Sensor Sensor14","To Sensor Sensor36"
1.000,"From Sensor Sensor14","To Sensor Sensor37"
1.000,"From Sensor Sensor14","To Sensor Sensor38"
1.000,"From Sensor Sensor15","To Sensor Sensor12"
1.000,"From Sensor Sensor15","To Sensor Sensor13"
1.000,"From Sensor Sensor15","To Sensor Sensor17"
1.000,"From Sensor Sensor15","To Sensor Sensor18"
1.000,"From Sensor Sensor15","To Sensor Sensor23"
1.000,"From Sensor Sensor15","To Sensor Sensor24"
1.000,"From Sensor Sensor15","To Sensor Sensor25"
1.000,"From Sensor Sensor15","To Sensor Sensor26"
1.000,"From Sensor Sensor15","To Sensor Sensor27"
1.000,"From Sensor Sensor15","To Sensor Sensor28"
1.000,"From Sensor Sensor15","To Sensor Sensor31"
1.000,"From Sensor Sensor15","To Sensor Sensor32"
1.000,"From Sensor Sensor15","To Sensor Sensor33"
1.000,"From Sensor Sensor15","To Sensor Sensor34"
1.000,"From Sensor Sensor15","To Sensor Sensor35"
1.000,"From Sensor Sensor15","To Sensor Sensor36"
1.000,"From Sensor Sensor16","To Sensor Sensor11"
1.000,"From Sensor Sensor16","To Sensor Sensor13"
1.000,"From Sensor Sensor16","To Sensor Sensor14"
1.000,"From Sensor Sensor16","To Sensor Sensor18"
1.000,"From Sensor Sensor16","To Sensor Sensor21"
1.000,"From Sensor Sensor16","To Sensor Sensor22"
1.000,"From Sensor Sensor16","To Sensor Sensor23"
1.000,"From Sensor Sensor16","To Sensor Sensor24"
1.000,"From Sensor Sensor16","To Sensor Sensor25"
1.000,"From Sensor Sensor16","To Sensor Sensor26"
1.000,"From Sensor Sensor16","To Sensor Sensor27"
1.000,"From Sensor Sensor16","To Sensor Sensor28"
1.000,"From Sensor Sensor16","To Sensor Sensor31"
1.000,"From Sensor Sensor16","To Sensor Sensor32"
1.000,"From Sensor Sensor16","To Sensor Sensor35"
1.000,"From Sensor Sensor17","To Sensor Sensor11"
1.000,"From Sensor Sensor17","To Sensor Sensor12"
1.000,"From Sensor Sensor17","To Sensor Sensor14"
1.000,"From Sensor Sensor17","To Sensor Sensor15"
1.000,"From Sensor Sensor17","To Sensor Sensor21"
1.000,"From Sensor Sensor17","To Sensor Sensor22"
1.000,"From Sensor Sensor17","To Sensor Sensor23"
1.000,"From Sensor Sensor17","To Sensor Sensor24"
1.000,"From Sensor Sensor17","To Sensor Sensor27"
1.000,"From Sensor Sensor17","To Sensor Sensor28"
1.000,"From Sensor Sensor17","To Sensor Sensor31"
1.000,"From Sensor Sensor17","To Sensor Sensor32"
1.000,"From Sensor Sensor17","To Sensor Sensor33"
1.000,"From Sensor Sensor17","To Sensor Sensor34"
1.000,"From Sensor Sensor17","To Sensor Sensor35"
1.000,"From Sensor Sensor17","To Sensor Sensor36"
1.000,"From Sensor Sensor18","To Sensor Sensor12"
1.000,"From Sensor Sensor18","To Sensor Sensor13"
1.000,"From Sensor Sensor18","To Sensor Sensor15"
1.000,"From Sensor Sensor18","To Sensor Sensor16"
1.000,"From Sensor Sensor18","To Sensor Sensor23"
1.000,"From Sensor Sensor18","To Sensor Sensor24"
0.732,"From Sensor Sensor18","To Sensor Sensor27"
1.000,"From Sensor Sensor18","To Sensor Sensor28"
1.000,"From Sensor Sensor18","To Sensor Sensor31"
1.000,"From Sensor Sensor18","To Sensor Sensor32"
1.000,"From Sensor Sensor18","To Sensor Sensor33"
1.000,"From Sensor Sensor18","To Sensor Sensor34"
1.000,"From Sensor Sensor18","To Sensor Sensor35"
1.000,"From Sensor Sensor18","To Sensor Sensor36"
1.000,"From Sensor Sensor18","To Sensor Sensor37"
1.000,"From Sensor Sensor18","To Sensor Sensor38"
1.000,"From Sensor Sensor21","To Sensor Sensor11"
1.000,"From Sensor Sensor21","To Sensor Sensor12"
1.000,"From Sensor Sensor21","To Sensor Sensor16"
1.000,"From Sensor Sensor21","To Sensor Sensor17"
