"Duration (sec)","From Object","To Object"
60.000,"From Target KASHI","To Sensor SensorG1"
60.000,"From Target KASHI","To Sensor SensorG2"
60.000,"From Target KASHI","To Sensor SensorG3"
60.000,"From Target KASHI","To Sensor Sensor13"
60.000,"From Target KASHI","To Sensor Sensor14"
60.000,"From Target KASHI","To Sensor Sensor15"
60.000,"From Target KASHI","To Sensor Sensor21"
60.000,"From Target KASHI","To Sensor Sensor22"
60.000,"From Target KASHI","To Sensor Sensor23"
60.000,"From Target kUNMING","To Sensor SensorG1"
60.000,"From Target kUNMING","To Sensor SensorG2"
60.000,"From Target kUNMING","To Sensor SensorG3"
60.000,"From Target kUNMING","To Sensor SensorG5"
60.000,"From Target kUNMING","To Sensor Sensor13"
60.000,"From Target kUNMING","To Sensor Sensor14"
60.000,"From Target kUNMING","To Sensor Sensor15"
60.000,"From Target kUNMING","To Sensor Sensor16"
60.000,"From Target kUNMING","To Sensor Sensor21"
60.000,"From Target kUNMING","To Sensor Sensor22"
60.000,"From Target kUNMING","To Sensor Sensor23"
60.000,"From Target kUNMING","To Sensor Sensor38"
60.000,"From Target MIYUN","To Sensor SensorG1"
60.000,"From Target MIYUN","To Sensor SensorG2"
60.000,"From Target MIYUN","To Sensor SensorG3"
60.000,"From Target MIYUN","To Sensor Sensor13"
60.000,"From Target MIYUN","To Sensor Sensor14"
60.000,"From Target MIYUN","To Sensor Sensor15"
60.000,"From Target MIYUN","To Sensor Sensor21"
60.000,"From Target MIYUN","To Sensor Sensor22"
60.000,"From Target MIYUN","To Sensor Sensor23"
60.000,"From Target MIYUN","To Sensor Sensor31"
60.000,"From Target MIYUN","To Sensor Sensor38"
60.000,"From Target SANYA","To Sensor SensorG1"
60.000,"From Target SANYA","To Sensor SensorG2"
60.000,"From Target SANYA","To Sensor SensorG3"
60.000,"From Target SANYA","To Sensor SensorG5"
60.000,"From Target SANYA","To Sensor Sensor14"
60.000,"From Target SANYA","To Sensor Sensor15"
60.000,"From Target SANYA","To Sensor Sensor16"
60.000,"From Target SANYA","To Sensor Sensor21"
60.000,"From Target SANYA","To Sensor Sensor22"
60.000,"From Target SANYA","To Sensor Sensor23"
60.000,"From Target SANYA","To Sensor Sensor37"
60.000,"From Target SANYA","To Sensor Sensor38"

