"Duration (min)","From Object","To Object"
8640.000,"From Sensor Sensor11","To Sensor Sensor13"
8640.000,"From Sensor Sensor11","To Sensor Sensor14"
8640.000,"From Sensor Sensor11","To Sensor Sensor16"
8640.000,"From Sensor Sensor11","To Sensor Sensor17"
8640.000,"From Sensor Sensor11","To Sensor Sensor21"
190.652,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
206.666,"From Sensor Sensor11","To Sensor Sensor22"
11.329,"From Sensor Sensor11","To Sensor Sensor22"
151.479,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
193.811,"From Sensor Sensor11","To Sensor Sensor23"
37.646,"From Sensor Sensor11","To Sensor Sensor23"
8640.000,"From Sensor Sensor11","To Sensor Sensor24"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.981,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.981,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.981,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.981,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
200.981,"From Sensor Sensor11","To Sensor Sensor25"
200.980,"From Sensor Sensor11","To Sensor Sensor25"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.858,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.858,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.858,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.858,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
142.858,"From Sensor Sensor11","To Sensor Sensor26"
142.857,"From Sensor Sensor11","To Sensor Sensor26"
121.668,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
134.187,"From Sensor Sensor11","To Sensor Sensor27"
7.834,"From Sensor Sensor11","To Sensor Sensor27"
108.881,"From Sensor Sensor11","To Sensor Sensor28"
174.104,"From Sensor Sensor11","To Sensor Sensor28"
174.103,"From Sensor Sensor11","To Sensor Sensor28"
174.104,"From Sensor Sensor11","To Sensor Sensor28"
174.104,"From Sensor Sensor11","To Sensor Sensor28"
174.103,"From Sensor Sensor11","To Sensor Sensor28"
174.104,"From Sensor Sensor11","To Sensor Sensor28"
174.104,"From Sensor Sensor11","To Sensor Sensor28"
174.103,"From Sensor Sensor11","To Sensor Sensor28"
174.103,"From Sensor Sensor11","To Sensor Sensor28"
174.104,"From Sensor Sensor11","To Sensor Sensor28"
174.103,"From Sensor Sensor11","To Sensor Sensor28"
174.103,"From Sensor Sensor11","To Sensor Sensor28"
174.104,"From Sensor Sensor11","To Sensor Sensor28"
