"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-36767.655387,-20642.869096,69.598385,90.311237,-160.856735,-0.173863
1.00000,-36676.985821,-20803.539663,69.423856,91.014160,-160.460060,-0.175194
2.00000,-36585.614149,-20963.811990,69.247998,91.715341,-160.060313,-0.176521
3.00000,-36493.542121,-21123.683008,69.070814,92.414767,-159.657503,-0.177845
4.00000,-36400.771499,-21283.149656,68.892308,93.112423,-159.251636,-0.179165
5.00000,-36307.304058,-21442.208882,68.712484,93.808297,-158.842720,-0.180482
6.00000,-36213.141589,-21600.857640,68.531343,94.502376,-158.430764,-0.181796
7.00000,-36118.285894,-21759.092895,68.348891,95.194645,-158.015774,-0.183106
8.00000,-36022.738788,-21916.911617,68.165131,95.885092,-157.597760,-0.184413
9.00000,-35926.502101,-22074.310784,67.980066,96.573703,-157.176729,-0.185716
10.00000,-35829.577675,-22231.287384,67.793699,97.260466,-156.752690,-0.187015
11.00000,-35731.967365,-22387.838412,67.606034,97.945367,-156.325649,-0.188311
12.00000,-35633.673040,-22543.960870,67.417076,98.628392,-155.895616,-0.189603
13.00000,-35534.696582,-22699.651771,67.226826,99.309530,-155.462599,-0.190892
14.00000,-35435.039884,-22854.908133,67.035290,99.988767,-155.026606,-0.192177
15.00000,-35334.704856,-23009.726985,66.842470,100.666090,-154.587645,-0.193458
16.00000,-35233.693417,-23164.105364,66.648371,101.341485,-154.145724,-0.194736
17.00000,-35132.007502,-23318.040312,66.452996,102.014941,-153.700853,-0.196010
18.00000,-35029.649056,-23471.528885,66.256349,102.686444,-153.253040,-0.197280
19.00000,-34926.620040,-23624.568144,66.058433,103.355981,-152.802293,-0.198546
20.00000,-34822.922425,-23777.155159,65.859253,104.023539,-152.348621,-0.199809
21.00000,-34718.558197,-23929.287009,65.658812,104.689106,-151.892032,-0.201068
22.00000,-34613.529353,-24080.960782,65.457114,105.352670,-151.432536,-0.202323
23.00000,-34507.837905,-24232.173574,65.254163,106.014216,-150.970141,-0.203574
24.00000,-34401.485875,-24382.922492,65.049963,106.673733,-150.504856,-0.204821
25.00000,-34294.475299,-24533.204648,64.844518,107.331208,-150.036690,-0.206064
26.00000,-34186.808225,-24683.017166,64.637831,107.986628,-149.565652,-0.207303
27.00000,-34078.486716,-24832.357179,64.429907,108.639981,-149.091750,-0.208538
28.00000,-33969.512844,-24981.221827,64.220749,109.291255,-148.614995,-0.209770
