"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,21384.891748,-22189.964463,-28779.945330,158.398753,44.320578,83.525806
1.00000,21543.085107,-22145.433173,-28696.143378,157.987928,44.744862,84.075864
2.00000,21700.866128,-22100.478037,-28611.792166,157.574079,45.168289,84.624312
3.00000,21858.231791,-22055.099915,-28526.893308,157.157214,45.590852,85.171140
4.00000,22015.179084,-22009.299675,-28441.448430,156.737342,46.012542,85.716338
5.00000,22171.705003,-21963.078195,-28355.459167,156.314469,46.433351,86.259896
6.00000,22327.806552,-21916.436358,-28268.927165,155.888604,46.853272,86.801802
7.00000,22483.480743,-21869.375058,-28181.854079,155.459756,47.272297,87.342047
8.00000,22638.724597,-21821.895195,-28094.241578,155.027932,47.690416,87.880621
9.00000,22793.535142,-21773.997678,-28006.091337,154.593141,48.107623,88.417512
10.00000,22947.909415,-21725.683423,-27917.405044,154.155391,48.523909,88.952711
11.00000,23101.844461,-21676.953356,-27828.184397,153.714690,48.939266,89.486207
12.00000,23255.337335,-21627.808408,-27738.431103,153.271047,49.353687,90.017990
13.00000,23408.385097,-21578.249521,-27648.146879,152.824471,49.767163,90.548051
14.00000,23560.984820,-21528.277643,-27557.333455,152.374970,50.179687,91.076378
15.00000,23713.133581,-21477.893730,-27465.992569,151.922552,50.591250,91.602962
16.00000,23864.828470,-21427.098747,-27374.125968,151.467226,51.001845,92.127793
17.00000,24016.066582,-21375.893666,-27281.735411,151.009001,51.411464,92.650860
18.00000,24166.845023,-21324.279466,-27188.822667,150.547886,51.820099,93.172154
19.00000,24317.160907,-21272.257136,-27095.389513,150.083890,52.227742,93.691664
20.00000,24467.011357,-21219.827671,-27001.437739,149.617020,52.634386,94.209382
21.00000,24616.393504,-21166.992076,-26906.969142,149.147288,53.040022,94.725296
22.00000,24765.304490,-21113.751360,-26811.985532,148.674700,53.444643,95.239396
23.00000,24913.741465,-21060.106542,-26716.488725,148.199267,53.848241,95.751674
24.00000,25061.701586,-21006.058651,-26620.480549,147.720997,54.250809,96.262120
25.00000,25209.182023,-20951.608720,-26523.962843,147.239900,54.652338,96.770722
26.00000,25356.179953,-20896.757790,-26426.937454,146.755985,55.052821,97.277473
27.00000,25502.692561,-20841.506913,-26329.406238,146.269261,55.452251,97.782361
28.00000,25648.717045,-20785.857145,-26231.371063,145.779737,55.850619,98.285378
29.00000,25794.250608,-20729.809551,-26132.833805,145.287423,56.247919,98.786514
30.00000,25939.290465,-20673.365205,-26033.796350,144.792328,56.644142,99.285759
31.00000,26083.833841,-20616.525186,-25934.260594,144.294462,57.039280,99.783103
32.00000,26227.877968,-20559.290582,-25834.228442,143.793834,57.433328,100.278538
33.00000,26371.420090,-20501.662489,-25733.701808,143.290454,57.826276,100.772053
34.00000,26514.457459,-20443.642010,-25632.682617,142.784331,58.218117,101.263639
35.00000,26656.987338,-20385.230254,-25531.172803,142.275475,58.608844,101.753287
36.00000,26799.006998,-20326.428341,-25429.174307,141.763896,58.998449,102.240988
37.00000,26940.513721,-20267.237395,-25326.689083,141.249604,59.386925,102.726732
38.00000,27081.504800,-20207.658549,-25223.719093,140.732608,59.774265,103.210509
39.00000,27221.977534,-20147.692944,-25120.266306,140.212919,60.160460,103.692311
40.00000,27361.929236,-20087.341727,-25016.332704,139.690546,60.545504,104.172128
41.00000,27501.357227,-20026.606053,-24911.920275,139.165499,60.929390,104.649951
42.00000,27640.258838,-19965.487085,-24807.031019,138.637789,61.312109,105.125771
43.00000,27778.631410,-19903.985993,-24701.666942,138.107425,61.693654,105.599579
44.00000,27916.472296,-19842.103953,-24595.830061,137.574418,62.074019,106.071365
45.00000,28053.778857,-19779.842150,-24489.522403,137.038777,62.453196,106.541122
46.00000,28190.548464,-19717.201775,-24382.746002,136.500514,62.831178,107.008839
47.00000,28326.778501,-19654.184027,-24275.502901,135.959638,63.207957,107.474508
48.00000,28462.466359,-19590.790114,-24167.795154,135.416160,63.583527,107.938120
49.00000,28597.609442,-19527.021246,-24059.624822,134.870090,63.957879,108.399666
50.00000,28732.205162,-19462.878646,-23950.993976,134.321438,64.331007,108.859137
51.00000,28866.250945,-19398.363541,-23841.904694,133.770216,64.702905,109.316524
52.00000,28999.744223,-19333.477166,-23732.359065,133.216433,65.073563,109.771819
53.00000,29132.682443,-19268.220762,-23622.359185,132.660100,65.442977,110.225013
54.00000,29265.063059,-19202.595578,-23511.907161,132.101229,65.811138,110.676097
55.00000,29396.883538,-19136.602870,-23401.005106,131.539828,66.178039,111.125063
56.00000,29528.141357,-19070.243902,-23289.655142,130.975911,66.543674,111.571902
57.00000,29658.834003,-19003.519944,-23177.859402,130.409486,66.908035,112.016605
58.00000,29788.958975,-18936.432272,-23065.620024,129.840565,67.271116,112.459164
59.00000,29918.513783,-18868.982170,-22952.939158,129.269159,67.632909,112.899571
60.00000,30047.495946,-18801.170930,-22839.818960,128.695279,67.993407,113.337816
61.00000,30175.902997,-18732.999849,-22726.261596,128.118936,68.352605,113.773893
62.00000,30303.732476,-18664.470232,-22612.269238,127.540140,68.710494,114.207791
63.00000,30430.981939,-18595.583391,-22497.844068,126.958904,69.067068,114.639504
64.00000,30557.648948,-18526.340643,-22382.988278,126.375237,69.422320,115.069022
65.00000,30683.731080,-18456.743315,-22267.704065,125.789151,69.776244,115.496338
66.00000,30809.225922,-18386.792738,-22151.993635,125.200658,70.128832,115.921443
67.00000,30934.131071,-18316.490251,-22035.859205,124.609769,70.480078,116.344330
68.00000,31058.444137,-18245.837199,-21919.302995,124.016494,70.829975,116.764989
69.00000,31182.162741,-18174.834935,-21802.327239,123.420846,71.178516,117.183414
70.00000,31305.284514,-18103.484818,-21684.934173,122.822836,71.525696,117.599595
71.00000,31427.807099,-18031.788213,-21567.126046,122.222475,71.871506,118.013526
72.00000,31549.728153,-17959.746492,-21448.905113,121.619774,72.215940,118.425198
73.00000,31671.045341,-17887.361035,-21330.273635,121.014746,72.558993,118.834603
74.00000,31791.756341,-17814.633226,-21211.233884,120.407401,72.900657,119.241733
75.00000,31911.858843,-17741.564458,-21091.788139,119.797752,73.240925,119.646581
76.00000,32031.350548,-17668.156129,-20971.938685,119.185810,73.579792,120.049140
77.00000,32150.229169,-17594.409643,-20851.687816,118.571586,73.917251,120.449400
78.00000,32268.492431,-17520.326414,-20731.037835,117.955093,74.253294,120.847355
79.00000,32386.138070,-17445.907857,-20609.991050,117.336343,74.587917,121.242996
80.00000,32503.163834,-17371.155398,-20488.549779,116.715347,74.921112,121.636317
81.00000,32619.567484,-17296.070467,-20366.716345,116.092116,75.252874,122.027310
82.00000,32735.346791,-17220.654502,-20244.493082,115.466664,75.583195,122.415968
83.00000,32850.499539,-17144.908945,-20121.882327,114.839002,75.912069,122.802282
84.00000,32965.023526,-17068.835247,-19998.886429,114.209141,76.239491,123.186245
85.00000,33078.916557,-16992.434863,-19875.507741,113.577095,76.565453,123.567851
86.00000,33192.176454,-16915.709256,-19751.748624,112.942875,76.889950,123.947092
87.00000,33304.801049,-16838.659893,-19627.611449,112.306493,77.212975,124.323960
88.00000,33416.788186,-16761.288251,-19503.098590,111.667962,77.534523,124.698448
89.00000,33528.135722,-16683.595809,-19378.212430,111.027293,77.854587,125.070550
90.00000,33638.841526,-16605.584054,-19252.955362,110.384499,78.173160,125.440258
91.00000,33748.903477,-16527.254480,-19127.329781,109.739592,78.490238,125.807565
92.00000,33858.319471,-16448.608586,-19001.338092,109.092585,78.805813,126.172463
93.00000,33967.087413,-16369.647876,-18874.982708,108.443490,79.119880,126.534947
94.00000,34075.205221,-16290.373863,-18748.266045,107.792320,79.432433,126.895009
95.00000,34182.670825,-16210.788063,-18621.190531,107.139086,79.743465,127.252642
96.00000,34289.482169,-16130.891999,-18493.758597,106.483802,80.052972,127.607839
97.00000,34395.637208,-16050.687201,-18365.972682,105.826479,80.360946,127.960594
98.00000,34501.133911,-15970.175204,-18237.835232,105.167131,80.667382,128.310900
99.00000,34605.970258,-15889.357549,-18109.348700,104.505770,80.972274,128.658749
