"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-3975.078619,19232.988069,-8817.352433,-175.607695,47.671650,183.152787
1.00000,-4150.396254,19279.275517,-8633.569973,-175.023372,44.902137,184.407727
2.00000,-4325.116972,19322.790190,-8448.545819,-174.413876,42.126165,185.636145
3.00000,-4499.215645,19363.525828,-8262.306583,-173.779296,39.344135,186.837864
4.00000,-4672.667234,19401.476574,-8074.879049,-173.119723,36.556447,188.012712
5.00000,-4845.446792,19436.636970,-7886.290173,-172.435252,33.763501,189.160520
6.00000,-5017.529471,19469.001957,-7696.567078,-171.725981,30.965699,190.281122
7.00000,-5188.890521,19498.566883,-7505.737051,-170.992011,28.163443,191.374358
8.00000,-5359.505296,19525.327494,-7313.827537,-170.233450,25.357137,192.440070
9.00000,-5529.349259,19549.279941,-7120.866137,-169.450405,22.547184,193.478105
10.00000,-5698.397983,19570.420781,-6926.880603,-168.642989,19.733988,194.488314
11.00000,-5866.627153,19588.746972,-6731.898834,-167.811319,16.917954,195.470551
12.00000,-6034.012577,19604.255879,-6535.948873,-166.955515,14.099487,196.424675
13.00000,-6200.530179,19616.945271,-6339.058901,-166.075698,11.278992,197.350549
14.00000,-6366.156011,19626.813323,-6141.257236,-165.171996,8.456875,198.248040
15.00000,-6530.866252,19633.858616,-5942.572326,-164.244539,5.633542,199.117018
16.00000,-6694.637215,19638.080136,-5743.032746,-163.293460,2.809398,199.957359
17.00000,-6857.445344,19639.477278,-5542.667194,-162.318896,-0.015149,200.768942
18.00000,-7019.267224,19638.049839,-5341.504486,-161.320986,-2.839695,201.551650
19.00000,-7180.079582,19633.798024,-5139.573555,-160.299876,-5.663832,202.305371
20.00000,-7339.859290,19626.722447,-4936.903443,-159.255710,-8.487154,203.029996
21.00000,-7498.583368,19616.824123,-4733.523297,-158.188641,-11.309256,203.725420
22.00000,-7656.228988,19604.104476,-4529.462369,-157.098820,-14.129731,204.391545
23.00000,-7812.773478,19588.565337,-4324.750006,-155.986406,-16.948175,205.028273
24.00000,-7968.194321,19570.208940,-4119.415651,-154.851557,-19.764180,205.635515
25.00000,-8122.469167,19549.037924,-3913.488835,-153.694437,-22.577343,206.213181
26.00000,-8275.575827,19525.055335,-3706.999175,-152.515212,-25.387259,206.761189
27.00000,-8427.492280,19498.264623,-3499.976369,-151.314053,-28.193524,207.279461
28.00000,-8578.196678,19468.669639,-3292.450190,-150.091131,-30.995734,207.767921
29.00000,-8727.667346,19436.274640,-3084.450487,-148.846623,-33.793486,208.226500
30.00000,-8875.882787,19401.084286,-2876.007172,-147.580707,-36.586378,208.655132
31.00000,-9022.821686,19363.103638,-2667.150226,-146.293567,-39.374008,209.053754
32.00000,-9168.462907,19322.338158,-2457.909686,-144.985386,-42.155975,209.422310
33.00000,-9312.785506,19278.793709,-2248.315646,-143.656353,-44.931879,209.760747
34.00000,-9455.768726,19232.476553,-2038.398249,-142.306659,-47.701321,210.069015
35.00000,-9597.392002,19183.393353,-1828.187687,-140.936498,-50.463903,210.347071
36.00000,-9737.634966,19131.551167,-1617.714192,-139.546068,-53.219227,210.594874
37.00000,-9876.477449,19076.957451,-1407.008035,-138.135568,-55.966896,210.812390
38.00000,-10013.899480,19019.620058,-1196.099519,-136.705201,-58.706517,210.999586
